y,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
1.0,0.0974358974358974,0.0974358974358974,0.0,0.1433021806853582,0.0825208085612366,0.0,0.0351974693704114,0.0,0.752688172043011,0.0077325205504756,0.0224416517055655,0.1632653061224489,0.0162373693125401,0.2714905430015483,0.0,0.3295668549905837,0.3523537803138374,0.0,0.0053050397877984,0.0416666666666666,0.1097560975609756,0.0,0.0,0.0434988023011525,0.0927742254341627,0.0805505625382051,0.2773052058523307,0.1360224514761584,0.2592592592592592,0.2
1.0,0.4025641025641025,0.4025641025641025,0.0,0.5268691588785046,0.3938440631900798,0.0,0.0255659686976228,0.4285714285714285,0.0268817204301075,0.0303426618638588,0.5224416517055656,0.1632653061224489,0.0727658156306153,0.000627510896181,0.0,0.271186440677966,0.1726105563480741,0.0526315789473684,0.026525198938992,0.0,0.1463414634146341,0.0,0.0,0.2468983772162337,0.2171329924009729,0.1442806532760379,0.022116366110922,0.1746387287963732,0.2592592592592592,0.24
1.0,0.5897435897435896,0.5897435897435896,0.0,0.2601246105919003,0.5203737047732291,1.0,0.0324827081513656,0.0,0.0268817204301075,0.0567691881407592,0.447935368043088,0.2040816326530612,0.0707249782688614,0.0096343384875623,0.0,0.2975517890772127,0.1925820256776034,0.1052631578947368,0.039787798408488,0.0,0.2073170731707317,0.0,0.0,0.2147188107439477,0.1713889735210082,0.3976137290681476,0.0299421571963252,0.412517090466627,0.2592592592592592,0.2133333333333333
1.0,0.282051282051282,0.282051282051282,1.0,0.4937694704049843,0.1858263971462544,1.0,0.0333207431363754,0.0,0.10752688172043,0.0819395954558049,0.5502692998204668,0.0816326530612244,0.0142446324946659,0.033087558232329,0.0,0.2297551789077213,0.2239657631954351,0.1052631578947368,0.0026525198938992,0.2916666666666666,0.0121951219512195,0.0,0.0,0.0203522903536156,0.0243859595148611,0.0376881281828118,0.1071793126913916,0.0178512785958668,0.2222222222222222,0.0933333333333333
1.0,0.6153846153846153,0.6153846153846153,1.0,0.9961059190031152,0.5377204008833021,1.0,0.0390099383867236,0.0,0.053763440860215,0.027376004433361,0.7648114901256733,0.0816326530612244,0.0293859965573753,0.0007059497582036,0.0,0.3634651600753295,0.1968616262482168,0.0,0.0450928381962864,0.0833333333333333,0.0853658536585365,0.0,0.0,0.0314862264632542,0.031094281724722,0.0583058180834842,0.0207553589656345,0.0715189417975572,0.1481481481481481,0.0666666666666666
1.0,0.2307692307692307,0.2307692307692307,0.0,0.2873831775700934,0.2067470698148462,1.0,0.0106465853025188,0.0,0.053763440860215,0.0165844647640158,0.3913824057450629,0.1020408163265306,0.0080087405559735,0.008757869464092,0.0,0.2033898305084746,0.1326676176890157,0.0,0.026525198938992,0.0416666666666666,0.024390243902439,0.0,0.012828571795102,0.0100129341658322,0.0156009801226443,0.0185418318907237,0.0183735964613814,0.0285746060197693,0.1481481481481481,0.08
1.0,0.6153846153846153,0.6153846153846153,0.0,0.3185358255451713,0.5551894003737047,1.0,0.0125587214654989,0.0,0.0268817204301075,0.0464505403158769,0.5323159784560143,0.1428571428571428,0.0118121192756058,0.0134539700295339,0.0,0.2561205273069679,0.2296718972895863,0.0,0.026525198938992,0.2083333333333333,0.0365853658536585,0.0,0.0,0.025313046081954,0.0297927114046935,0.046874396387757,0.0469547465124191,0.0517325971621648,0.2592592592592592,0.1466666666666666
1.0,0.3589743589743589,0.3525641025641025,0.0,0.3255451713395638,0.3255308306437914,0.0,0.0439555251292462,0.0,0.268817204301075,0.0489997229149348,0.478456014362657,0.1020408163265306,0.0736075751485104,0.0160901978705554,0.0,0.3182674199623352,0.2781740370898716,0.1052631578947368,0.0477453580901856,0.0416666666666666,0.1097560975609756,0.0,0.0,0.1577428285327207,0.1449635729023281,0.0839603325917661,0.0442327322218441,0.0978405500349986,0.2222222222222222,0.16
1.0,0.282051282051282,0.282051282051282,0.0,0.5342679127725857,0.2778257176830304,1.0,0.0096787139113807,0.0,0.0,0.0460589267571811,0.5206463195691203,0.1020408163265306,0.0047585180909581,0.0304615615472236,0.0,0.2542372881355932,0.2111269614835948,0.1578947368421052,0.0079575596816976,0.0833333333333333,0.0121951219512195,0.0,0.0,0.0076494423828316,0.0103212591142176,0.0141651460372359,0.0707723715549506,0.0,0.3333333333333333,0.1066666666666666
1.0,0.4871794871794871,0.4871794871794871,0.0,0.2406542056074766,0.4268795651435365,1.0,0.0211751375085574,0.0,0.10752688172043,0.0133000831255195,0.4973070017953321,0.0816326530612244,0.0090910027932672,0.0009208040324395,0.0,0.1939736346516007,0.0542082738944365,0.0,0.1167108753315649,0.3333333333333333,0.1341463414634146,0.0,0.0,0.0113652539710588,0.0151330499618411,0.0210460415535189,0.0071452875127594,0.0323125936295898,0.1111111111111111,0.08
